"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"p0008",3823.80791231273,1.27693876023564,0.0538890428351158,23.695703116173,3.9929098024311e-124,4.66081471483775e-123
"p0047",4628.76857502345,-1.07226364790034,0.0531195988841538,-20.1858385685253,1.30396165878522e-90,1.23109321314722e-89
"p0057",4465.70925851503,-3.22352336363411,0.0624416830848511,-51.6245431637983,0,0
"p0147",3768.65717819612,-2.71208096744984,0.058945788870264,-46.0097492870773,0,0
"p0151",1103.9471645451,-1.91821468462744,0.101401195898749,-18.9170814764632,8.24980724094767e-80,7.15726520093027e-79
"p0157",2515.02527053566,-1.29009919282787,0.0655933745660997,-19.6681326637314,4.04401143953376e-86,3.65669766786011e-85
"p0180",11244.7243696045,-1.16075943232636,0.0325866140866379,-35.6207438195404,6.68893477566774e-278,2.14714806298934e-276
"p0181",7269.7073670776,-1.10447772767944,0.0421864862411755,-26.1808419256646,4.39221721925558e-151,6.40864421536836e-150
"p0210",11506.5468030665,-1.42186489367255,0.0323004408312226,-44.0199841575579,0,0
"p0213",7141.5967831464,-1.84144443503916,0.0407188909168345,-45.2233445847083,0,0
"p0214",5565.85240218385,-2.26810015953873,0.0463960833677032,-48.8855953974248,0,0
"p0215",2854.10112753716,-1.42520764602398,0.062699320702097,-22.7308307341248,2.22093441293573e-114,2.41667778492329e-113
"p0216",8465.39796477875,-1.34508405387725,0.0363014770500789,-37.0531494358112,1.59793886843399e-300,6.41172970959137e-299
"p0217",40101.8848576388,-1.55460076970159,0.0191213824214669,-81.3016933313514,0,0
"p0219",13108.5652179596,-1.52470152458443,0.0299816748257202,-50.8544480402556,0,0
"p0247",7051.06125393058,-1.75046513873261,0.0402853592311354,-43.4516452661971,0,0
"p0248",7084.14898116933,-2.1623296917989,0.0466569929909418,-46.3452432997281,0,0
"p0249",16216.287041616,-1.36384202220601,0.027339953991532,-49.884576346706,0,0
"p0254",7416.4306075529,-1.38347550187272,0.0407223676953737,-33.9733561717702,5.5142258540891e-253,1.6857776182501e-251
"p0288",2785.61508201143,-1.17900053854772,0.0782850266601987,-15.0603581405835,2.9518361640267e-51,1.69203465830816e-50
"p0327",3827.23384651605,1.10905246300923,0.0548000440299153,20.2381673708837,4.51653799161571e-91,4.32778715017505e-90
"p0335",3418.90147631378,-1.38192658920788,0.0589881909134583,-23.4271736055664,2.25931775526868e-121,2.54470526119735e-120
"p0352",4347.64753944455,-1.71238937088554,0.0542060506948284,-31.5903731951627,5.00607775471806e-219,1.10824204087207e-217
"p0358",3329.1493258849,-1.56847247229458,0.0596121335441793,-26.3112956883546,1.42413516527809e-152,2.12626692118264e-151
"p0364",4914.33731363484,-1.41353068925888,0.0512055308978337,-27.6050392306094,9.68039280088419e-168,1.51580784833357e-166
"p0414",16389.7288206538,-1.60415176369011,0.0281680675971232,-56.9493011247226,0,0
"p0415",22486.0078576113,-1.11785016257006,0.0239088929120086,-46.7545764952004,0,0
"p0527",9040.83251086849,-2.35903267474446,0.0402933037428052,-58.5465190395488,0,0
"p0540",1508.01697471726,1.31792546027075,0.0860735436288861,15.3116207920183,6.39502307303842e-53,3.80148593786173e-52
"p0564",12692.4332337479,-1.07737190571439,0.0358105045665337,-30.0853595545605,7.53133223394951e-199,1.42209273358694e-197
