"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"p0001",14711.9045611142,0.00522487108317853,0.0295458630095323,0.176839345714588,0.859634582659031,0.871242087988402
"p0002",12689.4797795808,0.339106077070993,0.0297437115936807,11.400933471364,4.13659680286087e-30,1.56217361613922e-29
"p0003",11790.0635138988,0.186727264011732,0.0316281385587458,5.90383350145336,3.55150599740673e-09,6.08017826756032e-09
"p0004",30063.9499198518,0.0748272848739302,0.0208208537380145,3.59386247151389,0.000325811857567941,0.000442222436698981
"p0005",24755.0265868118,-0.137029946225093,0.0222713034779719,-6.1527582505724,7.61468333007252e-10,1.34302931261169e-09
"p0006",16707.9219759753,0.104370752696773,0.0263937229941717,3.95437781626415,7.67340726211382e-05,0.00010803349697976
"p0007",18115.9668803701,0.077799081820776,0.0256723631535172,3.03046047438439,0.00244181145041137,0.00308591132118917
"p0008",3823.80791231273,1.27693876023564,0.0538890428351158,23.695703116173,3.9929098024311e-124,4.66081471483775e-123
"p0009",9705.51991241043,0.432661020109202,0.0360539413091447,12.0003806629447,3.53666051514269e-33,1.49377371758001e-32
"p0010",10072.3472434425,-0.262578449851898,0.0336205074263132,-7.81006801956802,5.71571309475788e-15,1.25238491700838e-14
"p0011",9651.39287786915,0.309796937414372,0.036148464255906,8.57012721816411,1.0337078035785e-17,2.53297866373052e-17
"p0012",4989.16558375949,0.142895890998864,0.0460437564968756,3.10348029506586,0.00191258970803818,0.00244111847427537
"p0013",49366.7518034468,-0.0274377826966022,0.0181327391997026,-1.51316259470893,0.130238363014646,0.145161508776741
"p0014",45534.2195415995,0.0515714805211982,0.0190209620333142,2.71129716945303,0.00670205308718379,0.00830640556365249
"p0015",16346.5644615059,0.138788936189759,0.0275475718272314,5.03815498005393,4.70040784679098e-07,7.21928669291821e-07
"p0016",21610.1262210933,0.244643359285612,0.024772324658431,9.87567225356664,5.30758658046307e-23,1.6219659277033e-22
"p0017",65888.4900765172,-0.356556461782648,0.0209425995575967,-17.0254156272262,5.32132941968129e-65,3.71336248634281e-64
"p0018",17606.0872664268,0.65716579379284,0.0262571239162652,25.0280950757807,3.02403137708711e-138,3.96209825324475e-137
"p0019",12127.5470151298,0.204308935653857,0.0302805801504068,6.74719356891555,1.50732128463650e-11,2.8461772492254e-11
"p0020",11584.9258984677,0.25845734371755,0.0309041313834649,8.36319715673472,6.10410814801633e-17,1.44074905552444e-16
"p0021",16800.2416883032,-0.17984734989535,0.028744205509001,-6.25682104308059,3.92903821664481e-10,7.02630232614476e-10
"p0022",6813.56989467958,0.531092368527714,0.0402524158743061,13.1940495245335,9.49448273454434e-40,4.41699848954889e-39
"p0023",3122.2863437251,0.57863126261798,0.0583446984300631,9.91746085227565,3.49534878221662e-23,1.08354590415797e-22
"p0024",8101.2232990894,0.0617719108457973,0.0371524427025446,1.66266081991875,0.0963803491642805,0.109129072598709
"p0025",5111.95117773912,0.284972453485806,0.0451741580424882,6.30830691338568,2.82104381957714e-10,5.11613031686023e-10
"p0026",150120.440887564,0.044891879725105,0.0142416033447339,3.15216472741495,0.00162064817203873,0.00208091225289772
"p0027",27214.0555714903,0.30001601641522,0.0220838362613036,13.5853215385827,4.89378106771965e-42,2.38015715566365e-41
"p0028",13659.0378862426,0.267378752679794,0.0299965124493263,8.9136613175109,4.93744855170893e-19,1.31528712456313e-18
"p0029",16298.5308910192,0.437240749104275,0.0274446583575253,15.9317249793486,3.81680774945586e-57,2.37901997587443e-56
