"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"p0002",1486.16387107231,-1.28836581177851,0.110011943194025,-11.7111449391114,1.11760143261093e-31,7.41374398615613e-31
"p0006",9386.08921286628,5.31863422392721,0.0784816366656346,67.7691553068251,0,0
"p0009",1281.00049094229,1.27366679202492,0.108969158868186,11.6883236069171,1.462447508456e-31,9.65968547430807e-31
"p0010",4775.78009373347,-1.47968929471835,0.0839977865199826,-17.6158129400986,1.86293532948376e-69,2.31214312264154e-68
"p0011",1559.08967511927,1.98705209049951,0.0988369751196888,20.1043393739361,6.76147800757139e-90,1.20999007600609e-88
"p0015",3621.00552979759,-2.29451306661276,0.105209158617445,-21.8090620319085,1.90338326622818e-105,4.06848173156274e-104
"p0016",1686.03444965112,-2.00877822333755,0.110934429953398,-18.1077977701009,2.76594088757802e-73,3.6382760905834e-72
"p0017",744.536941318917,-2.46316397784786,0.15437550783264,-15.9556655873042,2.60184982510047e-57,2.68741401397961e-56
"p0018",1416.84766596651,1.58883293893435,0.102740087903712,15.4645861352912,6.01586577722319e-54,5.93488296868364e-53
"p0019",5118.06107785652,-1.92343873614219,0.0794016728917377,-24.2241588381237,1.23825430893135e-129,3.46486069353699e-128
"p0024",516.399208765244,-1.0199254170363,0.162787980730798,-6.26536070081823,3.7196338549885e-10,1.19012817106597e-09
"p0026",3346.7109990713,-2.22486404302284,0.0881719418057294,-25.2332431095248,1.72999067784504e-140,5.32491130640704e-139
"p0027",350.015352075646,1.19722475567388,0.17502096137655,6.84046497206755,7.8936547497548e-12,2.7299628449152e-11
"p0028",2750.74906369618,-1.90823332279749,0.0990154028405683,-19.2720856357073,9.21466973098409e-83,1.41813767159845e-81
"p0030",674.247132704492,-1.55107103550745,0.148193151475734,-10.4665500400093,1.23045962689121e-25,6.8117890855596e-25
"p0032",9690.12249301228,-1.06961319465214,0.0698341170614396,-15.3164848309187,5.93410922162877e-53,5.74376986923691e-52
"p0033",1280.84533285626,-1.15594877051451,0.110812573215201,-10.4315668969227,1.77929633117063e-25,9.81482814936056e-25
"p0042",1412.44476630286,-2.36200014340157,0.122027163304463,-19.3563472217106,1.80220451383175e-83,2.95063058168837e-82
"p0044",284.30629398662,1.33387452846705,0.196323196909208,6.79427876820849,1.08855718643629e-11,3.70639272107401e-11
"p0045",1210.85003680828,-2.80937757091675,0.13064624456219,-21.5036994008614,1.43759009687798e-102,2.98979886364219e-101
