"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"p0001",1134.07055113198,0.857589652217509,0.120028305269124,7.14489511698635,9.00646310017569e-13,3.29238639220199e-12
"p0002",1486.16387107231,-1.28836581177851,0.110011943194025,-11.7111449391114,1.11760143261093e-31,7.41374398615613e-31
"p0003",2906.09576704075,-0.266598601112102,0.0868951187578117,-3.06805036834288,0.00215460298609376,0.00384233371448238
"p0004",17520.5611031734,-0.108582192358139,0.0646335816867026,-1.67996557709688,0.0929640133973674,0.127287915141057
"p0005",2704.43018535653,0.230555854819594,0.0866766980327194,2.65995198308734,0.0078151792262006,0.0128637014215216
"p0006",9386.08921286628,5.31863422392721,0.0784816366656346,67.7691553068251,0,0
"p0007",1387.17205847045,0.804196448377565,0.110311889767952,7.29020643259076,3.09480458307855e-13,1.15604472168881e-12
"p0008",394.857688476635,0.570712023616737,0.543600998448979,1.04987302312746,0.2937764960741,0.356563113137255
"p0009",1281.00049094229,1.27366679202492,0.108969158868186,11.6883236069171,1.462447508456e-31,9.65968547430807e-31
"p0010",4775.78009373347,-1.47968929471835,0.0839977865199826,-17.6158129400986,1.86293532948376e-69,2.31214312264154e-68
"p0011",1559.08967511927,1.98705209049951,0.0988369751196888,20.1043393739361,6.76147800757139e-90,1.20999007600609e-88
"p0012",396.143367945297,-0.170431742057691,0.174389087775462,-0.977307377610308,0.328417001743715,0.392722428658568
"p0013",181.296499051083,-0.731534786604637,0.253483219621327,-2.88592983668686,0.00390259148511763,0.00673328284259645
"p0014",1146.1589677965,0.2534023804417,0.109978815381643,2.30410174507114,0.0212169328173624,0.0322338199466147
"p0015",3621.00552979759,-2.29451306661276,0.105209158617445,-21.8090620319085,1.90338326622818e-105,4.06848173156274e-104
"p0016",1686.03444965112,-2.00877822333755,0.110934429953398,-18.1077977701009,2.76594088757802e-73,3.6382760905834e-72
"p0017",744.536941318917,-2.46316397784786,0.15437550783264,-15.9556655873042,2.60184982510047e-57,2.68741401397961e-56
"p0018",1416.84766596651,1.58883293893435,0.102740087903712,15.4645861352912,6.01586577722319e-54,5.93488296868364e-53
"p0019",5118.06107785652,-1.92343873614219,0.0794016728917377,-24.2241588381237,1.23825430893135e-129,3.46486069353699e-128
"p0020",168.091122926177,0.777827341236532,0.248721900388326,3.12729735508663,0.00176421393841318,0.00318676672678156
"p0021",291.591119106482,0.338093405005656,0.193298931243984,1.7490702241851,0.080278881428391,0.111105394350984
"p0022",658.910217493884,-0.769985898445055,0.139300916130865,-5.52750060682803,3.2482510431083e-08,9.29193002851984e-08
"p0023",290.766594838559,-0.391673305193104,0.195375935239597,-2.00471621396351,0.0449933941437078,0.0651409535156786
"p0024",516.399208765244,-1.0199254170363,0.162787980730798,-6.26536070081823,3.7196338549885e-10,1.19012817106597e-09
"p0025",144.399408660845,-0.64156808191672,0.274126777055083,-2.34040646743461,0.019262762674541,0.0296453917561186
"p0026",3346.7109990713,-2.22486404302284,0.0881719418057294,-25.2332431095248,1.72999067784504e-140,5.32491130640704e-139
"p0027",350.015352075646,1.19722475567388,0.17502096137655,6.84046497206755,7.8936547497548e-12,2.7299628449152e-11
"p0028",2750.74906369618,-1.90823332279749,0.0990154028405683,-19.2720856357073,9.21466973098409e-83,1.41813767159845e-81
"p0029",152.702696692985,0.619494078704202,0.266398616175866,2.32544030294525,0.0200484285273706,0.0306400511456041
"p0030",674.247132704492,-1.55107103550745,0.148193151475734,-10.4665500400093,1.23045962689121e-25,6.8117890855596e-25
"p0031",7852.11970641432,-0.889272962620538,0.0701361151035429,-12.6792446560191,7.70709819353013e-37,5.93061205992143e-36
"p0032",9690.12249301228,-1.06961319465214,0.0698341170614396,-15.3164848309187,5.93410922162877e-53,5.74376986923691e-52
"p0033",1280.84533285626,-1.15594877051451,0.110812573215201,-10.4315668969227,1.77929633117063e-25,9.81482814936056e-25
"p0034",134.648169808812,0.886360591446666,0.276260010169369,3.208428867078,0.0013346231908898,0.00246281185944773
"p0035",1567.57347138272,0.0419805061972298,0.099458843597394,0.422089224837215,0.672959892529398,0.722739200699751
"p0036",155.359918761997,-0.0238212936959398,0.26501410575209,-0.0898868897122917,0.928377099470103,0.945580645985763
"p0037",416.015623639587,-0.542507805924471,0.174642960110019,-3.10638233331999,0.00189391666263287,0.00340506745770093
"p0038",544.36865167487,-0.997209806359456,0.161019950716935,-6.19308229768682,5.89989033380092e-10,1.85304718851421e-09
"p0039",504.873792007607,0.604056193194666,0.152095132967792,3.971568198192,7.14010536492874e-05,0.000152408074294387
"p0040",168.102871131407,-0.17690497771995,0.259805668213891,-0.680912695000592,0.495926734755567,0.558325709428543
"p0041",695.782345836268,-0.564604823406857,0.141669100483062,-3.98537734397743,6.73729727610986e-05,0.000144410870584026
"p0042",1412.44476630286,-2.36200014340157,0.122027163304463,-19.3563472217106,1.80220451383175e-83,2.95063058168837e-82
"p0043",403.574901998989,-0.0024924025977357,0.172687962276588,-0.0144329840069785,0.988484544695293,0.988595202132907
"p0044",284.30629398662,1.33387452846705,0.196323196909208,6.79427876820849,1.08855718643629e-11,3.70639272107401e-11
"p0045",1210.85003680828,-2.80937757091675,0.13064624456219,-21.5036994008614,1.43759009687798e-102,2.98979886364219e-101
"p0046",165.35470865046,-1.25564130594572,0.283564004388675,-4.42807015880844,9.50799767297622e-06,2.25120129518622e-05
"p0047",168.898475602284,-0.513376044488964,0.251984095788392,-2.03733510594288,0.0416164721147254,0.0608240746292141
"p0048",470.525850279322,0.206460700362445,0.155676131915008,1.32621936209954,0.184767047700641,0.235394442393449
"p0049",592.92321715173,0.744736102875091,0.152043013479625,4.89819351663201,9.67217548109274e-07,2.46857016009979e-06
"p0050",490.173486854499,-0.82164248879121,0.168697616873657,-4.87050442097568,1.11313710518857e-06,2.81762829750857e-06
"p0051",374.415181276259,0.371307921408999,0.171921820828834,2.15974865563269,0.0307921323509157,0.0458308430252023
"p0052",192.055060447465,0.441043671161784,0.234570625164499,1.88021697453588,0.0600785131157077,0.0849043449817026
"p0053",204.227245268084,-0.277368540201734,0.239232647208283,-1.15940923380849,0.246289414709987,0.304449324689695
"p0054",4128.26264134545,2.33628759768647,0.0794417663958873,29.4088072770675,4.23742799574966e-190,1.86325762441678e-188
