,peak_num,id1,overlap_start,overlap_end,start_1,end_1,control_rppm_1,control_rppm_2,id2,start_2,end_2,sample_rppm_1,sample_rppm_2,LFC,p-value,q-value
0,Peak_0001,NC_016855.1,7039,7840,7039,7840,1.8402509259975925,1.83106964857138,NC_016855.1,7039,7840,2.071043999383528,1.980386098306041,0.0052248710831785,0.859634582659031,0.871242087988402
1,Peak_0002,NC_016855.1,7878,8718,7878,8718,1.3423297358508457,1.329251231985064,NC_016855.1,7878,8718,1.8680667737124128,1.846984060531051,0.339106077070993,4.13659680286087e-30,1.56217361613922e-29
2,Peak_0003,NC_016855.1,12948,13815,12948,13815,1.264818966256642,1.2812458262425703,NC_016855.1,12948,13815,1.6199968642751605,1.5661913138386652,0.186727264011732,3.5515059974067303e-09,6.080178267560321e-09
3,Peak_0004,NC_016855.1,13877,14845,13877,14845,3.0893045878175274,3.0671823679924572,NC_016855.1,13877,14845,3.5365347022633187,3.5346295230091074,0.0748272848739302,0.0003258118575679,0.0004422224366989
4,Peak_0005,NC_016856.1,14541,16828,14541,16828,1.1326737300360268,1.1388673020509898,NC_016856.1,14541,16828,1.1407013735250704,1.1308128336325298,-0.137029946225093,7.61468333007252e-10,1.3430293126116901e-09
5,Peak_0006,NC_016855.1,14853,15972,14853,15972,1.4814116465250968,1.4863588503186602,NC_016855.1,14853,15972,1.7439952594043737,1.7122685396660675,0.104370752696773,7.67340726211382e-05,0.0001080334969797
6,Peak_0007,NC_016856.1,16853,18273,16853,18273,1.247471622139331,1.2407241686870791,NC_016856.1,16853,18273,1.4615566075776012,1.4257779916942266,0.077799081820776,0.0024418114504113,0.0030859113211891
7,Peak_0008,NC_016855.1,17535,18416,17535,18416,0.2664614314931622,0.27381224387112724,NC_016855.1,17535,18416,0.7114746727869978,0.7213546352114328,1.27693876023564,3.9929098024310995e-124,4.66081471483775e-123
8,Peak_0009,NC_016855.1,18424,19473,18424,19473,0.7894121076427398,0.8143212652862268,NC_016855.1,18424,19473,1.2263737073026713,1.1806976243948846,0.432661020109202,3.53666051514269e-33,1.49377371758001e-32
9,Peak_0010,NC_016856.1,22835,23706,22835,23706,1.272239212290295,1.2691476594325861,NC_016856.1,22835,23706,1.1843815504906514,1.1478551886692603,-0.262578449851898,5.715713094757881e-15,1.25238491700838e-14
10,Peak_0011,NC_016856.1,23721,24700,23721,24700,0.9106478041723722,0.8845793644986327,NC_016856.1,23721,24700,1.2505370909758946,1.1903831544729355,0.309796937414372,1.0337078035785e-17,2.53297866373052e-17
11,Peak_0012,NC_016856.1,24713,25648,24713,25648,0.5216874831953473,0.5125918057911598,NC_016856.1,24713,25648,0.6383590949474351,0.6181789998128463,0.142895890998864,0.0019125897080381,0.0024411184742753
12,Peak_0013,NC_016855.1,25697,27526,25697,27526,2.7425072114819877,2.732632385054041,NC_016855.1,25697,27526,2.9445663367738413,2.9800589756356017,-0.0274377826966022,0.130238363014646,0.145161508776741
13,Peak_0014,NC_016855.1,27538,28997,27538,28997,3.105194822116464,3.056685547095055,NC_016855.1,27538,28997,3.5020639795803112,3.5404323166470304,0.0515714805211982,0.0067020530871837,0.0083064055636524
14,Peak_0015,NC_016855.1,30444,31465,30444,31465,1.5285336908752036,1.5279914693770493,NC_016855.1,30444,31465,1.8858892531746583,1.8201906078810357,0.138788936189759,4.70040784679098e-07,7.21928669291821e-07
15,Peak_0016,NC_016855.1,31492,32320,31492,32320,2.4709741168763104,2.4510661102192115,NC_016855.1,31492,32320,3.1716294340012654,3.235857735216378,0.244643359285612,5.30758658046307e-23,1.6219659277033001e-22
