,peak_num,id1,overlap_start,overlap_end,start_1,end_1,control_rppm_1,control_rppm_2,id2,start_2,end_2,sample_rppm_1,sample_rppm_2,LFC,p-value,q-value
0,Peak_0001,NC_016856.1,135,184,135,184,3.5620117721584745,2.7726140435056186,NC_016856.1,135,184,6.597440156981133,6.636220133889539,0.857589652217509,9.00646310017569e-13,3.2923863922019897e-12
1,Peak_0002,NC_016855.1,1307,1356,1307,1356,8.70172681215358,7.810931938995103,NC_016855.1,1307,1356,4.241972831144573,3.6645291053805127,-1.28836581177851,1.1176014326109301e-31,7.41374398615613e-31
2,Peak_0003,NC_016855.1,1649,1698,1649,1698,13.181879440891567,11.681509352800873,NC_016855.1,1649,1698,12.523412252750939,11.536171352245715,-0.266598601112102,0.0021546029860937,0.0038423337144823
3,Peak_0004,NC_016855.1,1802,1851,1802,1851,74.74790826667326,67.64275268241687,NC_016855.1,1802,1851,82.32411594914744,75.43587591189907,-0.108582192358139,0.0929640133973674,0.127287915141057
4,Peak_0005,NC_016855.1,4042,4091,4042,4091,10.110791963475608,9.36860333723401,NC_016855.1,4042,4091,13.47199411700186,12.796635805349263,0.230555854819594,0.0078151792262006,0.0128637014215216
5,Peak_0006,NC_016856.1,7449,7498,7449,7498,1.9131057440156773,1.6808074771510744,NC_016856.1,7449,7498,89.24130280194349,80.76989435913859,5.31863422392721,0.0,0.0
6,Peak_0007,NC_016856.1,7603,7650,7603,7650,4.588750791713349,3.6801094789778026,NC_016856.1,7603,7650,7.27820581714878,8.502496091788945,0.804196448377565,3.09480458307855e-13,1.15604472168881e-12
7,Peak_0008,NC_016855.1,8892,8941,8892,8941,0.8188317435209118,1.6315530455862077,NC_016855.1,8892,8941,2.1955939779291005,2.1202514641609347,0.570712023616737,0.2937764960741,0.356563113137255
8,Peak_0009,NC_016855.1,9024,9073,9024,9073,2.9211869294029786,2.940900018018913,NC_016855.1,9024,9073,8.622502563808943,8.472658409934443,1.27366679202492,1.462447508456e-31,9.659685474308071e-31
9,Peak_0010,NC_016855.1,9331,9425,9376,9425,26.241964686522586,23.24809169861706,NC_016855.1,9331,9380,8.281439421606365,9.03193733945721,-1.47968929471835,1.86293532948376e-69,2.31214312264154e-68
10,Peak_0011,NC_016855.1,9490,9539,9490,9539,2.5539305867711737,2.364212715113599,NC_016855.1,9490,9539,11.926551753896426,11.410959651606289,1.98705209049951,6.76147800757139e-90,1.20999007600609e-88
11,Peak_0012,NC_016855.1,9888,9937,9888,9937,1.5964408363382538,1.678755209169205,NC_016855.1,9888,9937,1.929138398083336,1.6360995550218236,-0.170431742057691,0.328417001743715,0.392722428658568
12,Peak_0013,NC_016856.1,9982,10031,9982,10031,1.008081185387301,0.7696004932010414,NC_016856.1,9982,10031,0.6288351684360045,0.6010161630692413,-0.731534786604637,0.0039025914851176,0.0067332828425964
13,Peak_0014,NC_016855.1,14220,14269,14220,14269,4.167235234760888,4.014236172536632,NC_016855.1,14220,14269,6.139136559646417,5.6846112090299075,0.2534023804417,0.0212169328173624,0.0322338199466147
14,Peak_0015,NC_016855.1,17754,17803,17754,17803,25.127079360676035,22.004417301604175,NC_016855.1,17754,17803,6.053870774095772,4.8832563249375855,-2.29451306661276,1.90338326622818e-105,4.06848173156274e-104
15,Peak_0016,NC_016855.1,17864,17913,17864,17913,11.27626872427654,9.88372260068324,NC_016855.1,17864,17913,2.9736442710787334,2.8381318811603062,-2.00877822333755,2.76594088757802e-73,3.6382760905834e-72
16,Peak_0017,NC_016856.1,17945,17992,17945,17992,5.600659225135024,4.709256373971013,NC_016856.1,17945,17992,1.1667352836650715,1.105237465360487,-2.46316397784786,2.60184982510047e-57,2.68741401397961e-56
17,Peak_0018,NC_016855.1,19507,19556,19507,19556,2.821877816344378,2.708993736067666,NC_016855.1,19507,19556,10.093337364557565,9.48269946175914,1.58883293893435,6.01586577722319e-54,5.93488296868364e-53
18,Peak_0019,NC_016855.1,25633,25682,25633,25682,33.92249401533773,29.575233886720554,NC_016855.1,25633,25682,10.210577819689702,9.691385629491515,-1.92343873614219,1.23825430893135e-129,3.46486069353699e-128
19,Peak_0020,NC_016856.1,30308,30357,30308,30357,0.4684392125405674,0.4987011195942748,NC_016856.1,30308,30357,1.076480542576889,0.951608924859632,0.777827341236532,0.0017642139384131,0.0031867667267815
