,peak_num,id1,overlap_start,overlap_end,start_1,end_1,control_rppm_1,control_rppm_2,id2,start_2,end_2,sample_rppm_1,sample_rppm_2,LFC,p-value,q-value
0,Peak_0002,NC_016855.1,1307,1356,1307,1356,8.70172681215358,7.810931938995103,NC_016855.1,1307,1356,4.241972831144573,3.6645291053805127,-1.28836581177851,1.1176014326109301e-31,7.41374398615613e-31
1,Peak_0006,NC_016856.1,7449,7498,7449,7498,1.9131057440156773,1.6808074771510744,NC_016856.1,7449,7498,89.24130280194349,80.76989435913859,5.31863422392721,0.0,0.0
2,Peak_0009,NC_016855.1,9024,9073,9024,9073,2.9211869294029786,2.940900018018913,NC_016855.1,9024,9073,8.622502563808943,8.472658409934443,1.27366679202492,1.462447508456e-31,9.659685474308071e-31
3,Peak_0010,NC_016855.1,9331,9425,9376,9425,26.241964686522586,23.24809169861706,NC_016855.1,9331,9380,8.281439421606365,9.03193733945721,-1.47968929471835,1.86293532948376e-69,2.31214312264154e-68
4,Peak_0011,NC_016855.1,9490,9539,9490,9539,2.5539305867711737,2.364212715113599,NC_016855.1,9490,9539,11.926551753896426,11.410959651606289,1.98705209049951,6.76147800757139e-90,1.20999007600609e-88
5,Peak_0015,NC_016855.1,17754,17803,17754,17803,25.127079360676035,22.004417301604175,NC_016855.1,17754,17803,6.053870774095772,4.8832563249375855,-2.29451306661276,1.90338326622818e-105,4.06848173156274e-104
6,Peak_0016,NC_016855.1,17864,17913,17864,17913,11.27626872427654,9.88372260068324,NC_016855.1,17864,17913,2.9736442710787334,2.8381318811603062,-2.00877822333755,2.76594088757802e-73,3.6382760905834e-72
7,Peak_0017,NC_016856.1,17945,17992,17945,17992,5.600659225135024,4.709256373971013,NC_016856.1,17945,17992,1.1667352836650715,1.105237465360487,-2.46316397784786,2.60184982510047e-57,2.68741401397961e-56
8,Peak_0018,NC_016855.1,19507,19556,19507,19556,2.821877816344378,2.708993736067666,NC_016855.1,19507,19556,10.093337364557565,9.48269946175914,1.58883293893435,6.01586577722319e-54,5.93488296868364e-53
9,Peak_0019,NC_016855.1,25633,25682,25633,25682,33.92249401533773,29.575233886720554,NC_016855.1,25633,25682,10.210577819689702,9.691385629491515,-1.92343873614219,1.23825430893135e-129,3.46486069353699e-128
10,Peak_0024,NC_016855.1,39395,39444,39395,39444,2.8012664909925933,2.6186939448654103,NC_016855.1,39395,39444,1.4175436847794678,1.7195740221147737,-1.0199254170363,3.7196338549885004e-10,1.19012817106597e-09
11,Peak_0026,NC_016855.1,42713,42762,42713,42762,22.880444897331476,20.32155755647123,NC_016855.1,42713,42762,5.265162257752309,5.283933766983746,-2.22486404302284,1.7299906778450398e-140,5.32491130640704e-139
12,Peak_0027,NC_016855.1,43398,43447,43398,43447,0.8638019079248064,0.8003845129290831,NC_016855.1,43398,43447,2.2169104243167617,2.2037259312538846,1.19722475567388,7.893654749754799e-12,2.7299628449152e-11
13,Peak_0028,NC_016856.1,46137,46186,46137,46186,18.13796630957077,15.896867787560712,NC_016856.1,46137,46186,5.520959614404243,4.841519091391111,-1.90823332279749,9.214669730984089e-83,1.41813767159845e-81
14,Peak_0030,NC_016856.1,51021,51070,51021,51070,4.2534280498683525,3.6345665958907847,NC_016856.1,51021,51070,1.5241259167177736,1.6527944484404136,-1.55107103550745,1.23045962689121e-25,6.8117890855596e-25
15,Peak_0032,NC_016856.1,52651,52702,52651,52702,51.927166406234214,46.85359995046871,NC_016856.1,52651,52702,28.867275058568875,26.658798631826183,-1.06961319465214,5.934109221628771e-53,5.74376986923691e-52
